#Position (bp)	Coverage
3921452.5	0.19608884668230034
1.17643565E7	0.22861914413334652
1.96072605E7	0.2639529949620702
2.74501645E7	0.23947774956827217
3.52930685E7	0.2556258498127734
4.31359725E7	0.2651433703638346
5.09788765E7	0.28020373575910146
5.88217805E7	0.30145466526174486
6.66646845E7	0.3017975229583328
7.45075885E7	0.3021060821348827
8.23504925E7	0.3046008213284263
9.01933965E7	0.3045685628690597
9.80363005E7	0.3057489929750511
1.058792045E8	0.27181564379724654
1.137221085E8	0.2814831088076559
1.215650125E8	0.20395366308194005
1.294079165E8	0.0
1.372508205E8	0.0
1.450937245E8	0.15767641679663552
1.529366285E8	0.23728608688822406
1.607795325E8	0.28014393648067093
1.686224365E8	0.29236122232275186
1.764653405E8	0.28671165680467336
1.843082445E8	0.2928689424223476
1.921511485E8	0.30341465355179664
1.999940525E8	0.2908722330402106
2.078369565E8	0.2584356508762571
2.156798605E8	0.2904704685917359
2.235227645E8	0.27655011460040824
2.313656685E8	0.27799230999129915
2.392085725E8	0.28344488215079516
2.46190323E8	0.2664599548050623
2.50111775E8	0.25305070466531226
2.548943805E8	0.27387636008294886
2.627372845E8	0.2768826444898471
2.705801885E8	0.2829375445625753
2.784230925E8	0.2754305038031831
2.862659965E8	0.28891466732220616
2.941089005E8	0.2794227750333295
3.019518045E8	0.2975466740380859
3.097947085E8	0.3048323682146307
3.176376125E8	0.2775992158006779
3.254805165E8	0.2861626254764817
3.333234205E8	0.27292250421527536
3.411663245E8	0.1385935617725271
3.490092285E8	0.25976016026716636
3.568521325E8	0.25566206088969085
3.646950365E8	0.27388847294318536
3.725379405E8	0.28709365816539384
3.803808445E8	0.2578992424234697
3.882237485E8	0.3005784592033767
3.960666525E8	0.3014196017189551
4.039095565E8	0.2964690119884165
4.117524605E8	0.29990970181453197
4.195953645E8	0.3008539948978083
4.274382685E8	0.3022734946137298
4.352811725E8	0.3031715038205236
4.431240765E8	0.29951469506703127
