#Insert size (bp)	insert size
21.0	2.0
22.0	17.0
23.0	24.0
24.0	21.0
25.0	31.0
26.0	20.0
27.0	18.0
28.0	8.0
29.0	12.0
30.0	22.0
31.0	6.0
32.0	13.0
33.0	9.0
34.0	11.0
35.0	5.0
36.0	9.0
37.0	3.0
38.0	4.0
39.0	2.0
40.0	1.0
41.0	1.0
42.0	5.0
44.0	2.0
45.0	1.0
46.0	3.0
47.0	3.0
48.0	4.0
49.0	5.0
50.0	3.0
51.0	2.0
52.0	2.0
53.0	2.0
54.0	4.0
55.0	3.0
56.0	6.0
57.0	4.0
58.0	2.0
59.0	1.0
60.0	6.0
61.0	5.0
62.0	8.0
63.0	8.0
64.0	10.0
65.0	8.0
66.0	12.0
67.0	5.0
68.0	8.0
69.0	13.0
70.0	12.0
71.0	16.0
72.0	26.0
73.0	16.0
74.0	29.0
75.0	18.0
76.0	17.0
77.0	25.0
78.0	24.0
79.0	35.0
80.0	24.0
81.0	50.0
82.0	34.0
83.0	27.0
84.0	46.0
85.0	65.0
86.0	59.0
87.0	65.0
88.0	79.0
89.0	83.0
90.0	105.0
91.0	126.0
92.0	118.0
93.0	140.0
94.0	162.0
95.0	183.0
96.0	188.0
97.0	229.0
98.0	238.0
99.0	259.0
100.0	271.0
101.0	308.0
102.0	302.0
103.0	340.0
104.0	388.0
105.0	424.0
106.0	431.0
107.0	483.0
108.0	500.0
109.0	553.0
110.0	623.0
111.0	664.0
112.0	754.0
113.0	887.0
114.0	894.0
115.0	955.0
116.0	967.0
117.0	1189.0
118.0	1235.0
119.0	1365.0
120.0	1610.0
121.0	1735.0
122.0	1794.0
123.0	1882.0
124.0	2109.0
125.0	2311.0
126.0	2497.0
127.0	2854.0
128.0	3070.0
129.0	3238.0
130.0	3511.0
131.0	3864.0
132.0	3981.0
133.0	4221.0
134.0	4396.0
135.0	4575.0
136.0	4782.0
137.0	5250.0
138.0	5810.0
139.0	6469.0
140.0	7216.0
141.0	8080.0
142.0	8796.0
143.0	9551.0
144.0	10203.0
145.0	10833.0
146.0	11981.0
147.0	12714.0
148.0	14274.0
149.0	10980.0
150.0	24119.0
151.0	18892.0
152.0	21297.0
153.0	21787.0
154.0	23070.0
155.0	23731.0
156.0	24452.0
157.0	25527.0
158.0	26696.0
159.0	28113.0
160.0	29829.0
161.0	31077.0
162.0	32049.0
163.0	33189.0
164.0	35045.0
165.0	37067.0
166.0	39221.0
167.0	40813.0
168.0	43337.0
169.0	45851.0
170.0	47976.0
171.0	50521.0
172.0	51872.0
173.0	52737.0
174.0	52967.0
175.0	52589.0
176.0	51985.0
177.0	51150.0
178.0	50236.0
179.0	48592.0
180.0	47117.0
181.0	45826.0
182.0	44009.0
183.0	41996.0
184.0	39553.0
185.0	37360.0
186.0	35096.0
187.0	32998.0
188.0	30834.0
189.0	29257.0
190.0	27270.0
191.0	25543.0
192.0	24067.0
193.0	22938.0
194.0	21727.0
195.0	20331.0
196.0	19345.0
197.0	18143.0
198.0	17262.0
199.0	16192.0
200.0	15266.0
201.0	14408.0
202.0	13741.0
203.0	13213.0
204.0	12420.0
205.0	11945.0
206.0	11485.0
207.0	10702.0
208.0	10378.0
209.0	9833.0
210.0	9555.0
211.0	9166.0
212.0	8818.0
213.0	8266.0
214.0	8060.0
215.0	7695.0
216.0	7335.0
217.0	7006.0
218.0	6784.0
219.0	6589.0
220.0	6365.0
221.0	6139.0
222.0	5807.0
223.0	5538.0
224.0	5378.0
225.0	5233.0
226.0	4991.0
227.0	4868.0
