#Mapping quality	mapping quality
0.0	2.0318315E7
1.0	178916.0
2.0	389239.0
3.0	1.6065585E7
4.0	580852.0
5.0	342671.0
6.0	175080.0
7.0	1138761.0
8.0	3.1939049E7
9.0	278671.0
10.0	271631.0
11.0	1437539.0
12.0	620708.0
13.0	1679681.0
14.0	823164.0
15.0	1555831.0
16.0	1402681.0
17.0	437094.0
18.0	1088975.0
19.0	421226.0
20.0	460550.0
21.0	857299.0
22.0	825105.0
23.0	9.4292976E7
24.0	8.9613033E7
25.0	760132.0
26.0	377972.0
27.0	398250.0
28.0	1040247.0
29.0	2229493.0
30.0	1419240.0
31.0	1888729.0
32.0	3814378.0
33.0	2086830.0
34.0	1868650.0
35.0	1096286.0
36.0	1100438.0
37.0	139468.0
38.0	62454.0
39.0	36945.0
40.0	7.8795581E7
41.0	2692669.0
42.0	8.8986929E7
