#Position (bp)	insert size
3921452.5	194.43677928383573
1.17643565E7	197.37410550840406
1.96072605E7	197.98121115768174
2.74501645E7	198.19505976095618
3.52930685E7	198.24502021866107
4.31359725E7	195.83393447550347
5.09788765E7	193.1853102574926
5.88217805E7	192.27182801371669
6.66646845E7	193.44769874476987
7.45075885E7	196.4842878864673
8.23504925E7	198.64015579846713
9.01933965E7	198.7992443324937
9.80363005E7	197.94458375125376
1.058792045E8	197.12847663419456
1.137221085E8	199.07835415535035
1.215650125E8	191.61065266316578
1.294079165E8	0.0
1.372508205E8	0.0
1.450937245E8	203.28609431680775
1.529366285E8	198.3499677002584
1.607795325E8	199.47507895098173
1.686224365E8	198.76486805829066
1.764653405E8	197.01251497803221
1.843082445E8	198.18003913894324
1.921511485E8	198.50240506329115
1.999940525E8	199.09875082182774
2.078369565E8	198.00444773906597
2.156798605E8	197.419792077905
2.235227645E8	198.0008318314155
2.313656685E8	196.99793729372936
2.392085725E8	196.2034515302683
2.46190323E8	199.10559350193833
2.50111775E8	195.79876373626374
2.548943805E8	195.52283200670297
2.627372845E8	197.93401576981603
2.705801885E8	198.13985919306796
2.784230925E8	197.59017076218242
2.862659965E8	197.29070691024623
2.941089005E8	198.20319978121154
3.019518045E8	196.70538243626063
3.097947085E8	197.41039809117166
3.176376125E8	198.47792706333973
3.254805165E8	197.00978683469634
3.333234205E8	197.60286879482493
3.411663245E8	198.55247853780116
3.490092285E8	197.13270560541415
3.568521325E8	197.18380481963777
3.646950365E8	195.91460170796583
3.725379405E8	197.36373333333333
3.803808445E8	197.01494746189138
3.882237485E8	197.33299427844884
3.960666525E8	199.60791046674296
4.039095565E8	198.24712717882505
4.117524605E8	198.19019184347604
4.195953645E8	198.74825263692972
4.274382685E8	197.4606528340081
4.352811725E8	198.99305204648812
4.431240765E8	198.3523481368045
4.509669805E8	198.28369636963697
4.588098845E8	198.12839917906618
4.666527885E8	197.89077134986226
4.744956925E8	196.96963799143634
4.823385965E8	196.71406404288334
4.893550215E8	196.97264815582264
4.932764735E8	197.14043887147335
4.980244045E8	196.23163171085608
5.058673085E8	197.8362724014337
5.137102125E8	196.89043544885712
5.215531165E8	197.3559743489072
5.293960205E8	198.93368942157375
5.372389245E8	199.31830946363382
5.450818285E8	197.42139360783185
5.529247325E8	198.4078335056877
5.607676365E8	197.8412306893418
5.686105405E8	196.4398932621748
5.764534445E8	197.8455603339236
5.842963485E8	198.76860197023686
5.921392525E8	196.77454871335297
5.999821565E8	197.02525317267018
6.078250605E8	196.26039215686274
6.156679645E8	198.27847222222223
6.235108685E8	198.02032913843175
6.313537725E8	197.9253872053872
6.391966765E8	197.6538020634314
6.470395805E8	198.69362838611218
6.548824845E8	197.11163895486936
6.627253885E8	198.90622250157134
6.705682925E8	197.42363301787591
6.784111965E8	197.84287454323996
6.862541005E8	199.0841750841751
6.903239885E8	206.85798816568047
6.942454405E8	197.46882591093117
7.019399085E8	195.19221034870642
7.097828125E8	196.58808390168576
7.176257165E8	197.11226805499933
7.254686205E8	197.0228423101882
7.333115245E8	194.16431861284204
7.411544285E8	198.40814558058926
7.489973325E8	197.92416874753582
7.568402365E8	196.8645407083392
7.646831405E8	198.41430680445578
7.725260445E8	197.6168318073498
7.803689485E8	197.55715730905413
7.882118525E8	196.13455354934456
7.960547565E8	197.97034371510114
8.038976605E8	197.2850057230065
8.117405645E8	199.10666325617086
8.195834685E8	198.09773555439875
8.274263725E8	198.99180647678503
8.352692765E8	198.2736579275905
8.431121805E8	197.65125114633827
8.509550845E8	197.08540231379175
8.587979885E8	196.54157332981947
8.666408925E8	196.39692585895116
8.744837965E8	196.1816826988213
8.800159745E8	196.88792805257697
8.839374265E8	195.87098560354374
8.901696045E8	197.18251719951436
8.980125085E8	197.44102835939572
9.058554125E8	197.1036811440678
9.136983165E8	197.2927547877327
9.215412205E8	199.14291272208533
9.293841245E8	196.99938775510205
9.372270285E8	197.86125920284337
9.450699325E8	197.3001899936669
9.529128365E8	197.8954670108082
9.607557405E8	198.493070083682
9.685986445E8	196.99724862431216
