#Coverage (X)	Coverage
1.0	14.53509350101423
2.0	8.407570851607957
3.0	1.129247463511959
4.0	0.48684239395861084
5.0	0.06542150139209468
6.0	0.02619999199377787
7.0	0.0070921123039795475
8.0	0.004881228190498632
9.0	0.0037429060898830357
10.0	0.0033982951792523863
11.0	0.003086835258073961
12.0	0.002900584074012613
13.0	0.002700594354905661
14.0	0.00256595033617657
15.0	0.0024250905069180817
16.0	0.0023298770400685953
17.0	0.002221690061006143
18.0	0.0021440083674377775
19.0	0.002067792967622495
20.0	0.0019877205776879237
21.0	0.0019154577958602204
22.0	0.0018452988268222725
23.0	0.0017872845952666694
24.0	0.0017365699565772275
25.0	0.0016696304586218957
26.0	0.0016199358503854455
27.0	0.001568551816717445
28.0	0.0015236386011849845
29.0	0.0014822636162676872
30.0	0.0014467856823472403
31.0	0.0014111802446308275
32.0	0.0013729609788981634
33.0	0.0013318091256309117
34.0	0.0012954705410237466
35.0	0.001264327736507198
36.0	0.0012369781701977445
37.0	0.0012072697834923929
38.0	0.0011801752248032926
39.0	0.0011548975953417084
40.0	0.001133445080043316
41.0	0.0011104943950357438
42.0	0.001087734965736331
43.0	0.0010671112251827708
44.0	0.0010441605401751985
45.0	0.0010170341055300014
46.0	9.892063999501488E-4
47.0	9.633550033640859E-4
48.0	9.337103685567172E-4
49.0	9.071577010359988E-4
50.0	8.81688815866255E-4
51.0	8.589293865668424E-4
