#Position (bp)	mapping quality
3921452.5	26.628149574811463
1.17643565E7	27.132885638787354
1.96072605E7	26.686132169621835
2.74501645E7	27.272818510904848
3.52930685E7	27.583271857381778
4.31359725E7	27.08858164534257
5.09788765E7	27.187347988338246
5.88217805E7	27.356098262473143
6.66646845E7	27.092793779724197
7.45075885E7	26.827701994058383
8.23504925E7	26.69883903212911
9.01933965E7	26.88347060453753
9.80363005E7	26.982690703764867
1.058792045E8	26.578155138510496
1.137221085E8	27.08419152535847
1.215650125E8	18.301859415137262
1.294079165E8	0.0
1.372508205E8	0.0
1.450937245E8	19.70794434278016
1.529366285E8	26.434278768755924
1.607795325E8	26.734668036931613
1.686224365E8	27.22504918313046
1.764653405E8	27.168790457571916
1.843082445E8	27.40682550677139
1.921511485E8	27.022194001475846
1.999940525E8	26.993518997862168
2.078369565E8	27.02286117719497
2.156798605E8	27.306661773769036
2.235227645E8	27.130997585935354
2.313656685E8	27.160503736468975
2.392085725E8	26.834081935879436
2.46190323E8	26.35881669808093
2.50111775E8	26.638857722374038
2.548943805E8	27.217086144881765
2.627372845E8	27.150261286335564
2.705801885E8	27.483014368297813
2.784230925E8	27.55613549828139
2.862659965E8	26.7626612472583
2.941089005E8	27.30940603772965
3.019518045E8	27.11609209686197
3.097947085E8	27.072247404707518
3.176376125E8	27.34511322883137
3.254805165E8	27.224861941964384
3.333234205E8	26.794871770913872
3.411663245E8	20.184615851683937
3.490092285E8	26.505407716389644
3.568521325E8	26.980552910954035
3.646950365E8	26.512176682350432
3.725379405E8	27.151354030470127
3.803808445E8	25.67662095666193
3.882237485E8	27.04882481097884
3.960666525E8	27.450548962459894
4.039095565E8	27.122150648251445
4.117524605E8	27.136576419236253
4.195953645E8	27.092552495815973
4.274382685E8	27.216602086639316
4.352811725E8	26.781686009223023
4.431240765E8	26.785724107251184
4.509669805E8	27.44069232816453
4.588098845E8	27.339011909798963
4.666527885E8	26.985167293372754
4.744956925E8	27.258724975140403
4.823385965E8	27.260853895971344
4.893550215E8	27.056730389785084
4.932764735E8	26.284714684894812
4.980244045E8	26.571354895748915
5.058673085E8	27.218402313133243
5.137102125E8	26.84154600053149
5.215531165E8	27.34452009533497
5.293960205E8	27.019335591726282
5.372389245E8	27.124320763268187
5.450818285E8	27.33055799006719
5.529247325E8	27.166670047356998
5.607676365E8	27.21618507241485
5.686105405E8	27.00174480719015
5.764534445E8	27.1087793664853
5.842963485E8	26.809668838053152
5.921392525E8	27.04542999121866
5.999821565E8	26.84941845482136
6.078250605E8	26.80333654518482
6.156679645E8	26.971506186044557
6.235108685E8	26.953991133374434
6.313537725E8	27.032397195808443
6.391966765E8	27.02377970079078
6.470395805E8	27.277124794455368
6.548824845E8	27.109434699965266
6.627253885E8	27.528312462850707
6.705682925E8	27.042184726639107
6.784111965E8	27.34093506695171
6.862541005E8	26.738486678747652
6.903239885E8	24.51478548117488
6.942454405E8	26.622483866322973
7.019399085E8	26.156853293136
7.097828125E8	27.424414953186435
7.176257165E8	27.19253762522337
7.254686205E8	26.976190300817716
7.333115245E8	26.853681379057125
7.411544285E8	25.818168739628298
7.489973325E8	26.980052284087098
7.568402365E8	26.387959246391365
7.646831405E8	26.881580643198017
7.725260445E8	27.184210295483147
7.803689485E8	27.14501926692918
7.882118525E8	27.204136348911035
7.960547565E8	26.789757930468426
8.038976605E8	27.19165062931376
8.117405645E8	26.726776396013435
8.195834685E8	26.779966758280555
8.274263725E8	26.968330900874605
8.352692765E8	26.92442049794251
8.431121805E8	27.256985565965184
8.509550845E8	26.711263078114374
8.587979885E8	26.478240830190895
8.666408925E8	26.896295301425933
8.744837965E8	27.054727095231694
8.800159745E8	25.435369477252028
8.839374265E8	26.325175197309147
8.901696045E8	27.193905730076253
8.980125085E8	27.05108193565944
9.058554125E8	26.314232703218693
9.136983165E8	26.648658403347525
9.215412205E8	27.287617740363
9.293841245E8	26.51659963424477
9.372270285E8	27.17370376243485
9.450699325E8	27.131924658867216
9.529128365E8	26.72353343673268
9.607557405E8	26.983463119408274
9.685986445E8	27.028709437349928
9.764415485E8	27.27829393577336
9.842844525E8	26.939742594682368
9.921273565E8	26.996038905061948
9.999702605E8	27.199066103864453
1.0078131645E9	27.088583067702537
1.0156560685E9	27.36936862498367
1.0234989725E9	27.34705210723833
1.0313418765E9	27.205996893490784
1.0391847805E9	27.373829666192442
1.0470276845E9	27.261635844343733
1.0548705885E9	26.79400258912616
1.0606670005E9	26.30507094511172
1.0645884525E9	27.22800386785203
1.0705563965E9	27.179490767701235
1.0783993005E9	27.131000516295664
1.0862422045E9	26.869783823814647
1.0940851085E9	26.82705039446999
1.1019280125E9	27.241382102962948
1.1097709165E9	27.361239217005277
1.1176138205E9	24.603274448552188
1.1254567245E9	26.73196587733329
1.1332996285E9	26.91759692842313
1.1411425325E9	26.763019226636533
1.1489854365E9	27.17311867437532
1.1568283405E9	26.815037853245542
1.1646712445E9	26.99637740505593
1.1725141485E9	27.056911276554864
1.1803570525E9	26.998385763051466
1.1881999565E9	27.063848225727213
1.1960428605E9	27.484144187607853
1.2038857645E9	27.323569177968242
1.2117286685E9	27.212490414329107
1.2195715725E9	27.08935963245771
1.2274144765E9	26.91625627228465
1.232496478E9	25.729483686876172
1.23641793E9	27.049570935684585
1.2431002845E9	26.326734296317717
1.2509431885E9	26.859176014851183
1.2587860925E9	26.844225834786485
1.2666289965E9	26.829974609754863
1.2744719005E9	26.98037019692722
1.2823148045E9	26.972481893949073
1.2901577085E9	25.62090819498143
1.2980006125E9	22.411414787342046
1.3058435165E9	26.629442462257323
1.3136864205E9	26.466641272368314
1.3215293245E9	27.080708727303154
1.3293722285E9	27.090783101943497
1.3372151325E9	26.627209973176157
1.3450580365E9	27.138275731878554
1.3529009405E9	27.200946790978325
1.3607438445E9	26.802214147378923
1.3685867485E9	27.03451413083844
1.3764296525E9	27.138775653381188
1.3842725565E9	26.452644667557774
1.3904948495E9	26.59490810645653
1.3944163015E9	26.149983867302602
1.3999583645E9	25.93498347488314
1.4078012685E9	26.028231995987273
1.4156441725E9	26.940028344995927
1.4234870765E9	26.924351462099658
1.4313299805E9	27.518614375542867
1.4391728845E9	23.716312671451274
1.4470157885E9	26.841429808429083
1.4548586925E9	27.18160749093613
1.4627015965E9	27.217428261683786
1.4705445005E9	27.175229325043546
1.4783874045E9	27.044218928826226
1.4862303085E9	27.053367496401766
1.4940732125E9	27.41451485156902
1.5019161165E9	27.183342711793724
1.5097590205E9	27.236010690073616
1.5176019245E9	27.129991739959376
1.5254448285E9	27.38007112237371
1.5332877325E9	27.283960701941563
1.5381844485E9	26.904828105364764
1.5421059005E9	26.347225247596644
1.5489735405E9	26.683075771982065
1.5568164445E9	26.827396134413704
1.5646593485E9	26.967501037020547
1.5725022525E9	26.94120191333855
1.5803451565E9	21.060730224279457
1.5881880605E9	12.38670208484263
1.5960309645E9	0.0
1.6038738685E9	13.74887793096508
1.6117167725E9	25.779267460238845
1.6195596765E9	27.134679171834165
1.6274025805E9	26.900847123287182
1.6352454845E9	26.95433780999987
1.6430883885E9	27.35215608812799
1.6509312925E9	27.285629440401852
1.6587741965E9	27.473971638863066
1.6666171005E9	27.219122126766486
1.6744600045E9	27.576562103813163
1.6793773E9	27.1891133384734
1.683298752E9	26.735129158962696
1.6901458125E9	27.094635953893636
1.6979887165E9	27.052872048606897
1.7058316205E9	27.05888549603148
1.7136745245E9	27.195050094593398
1.7215174285E9	17.807978855500764
1.7293603325E9	25.537244474503307
1.7372032365E9	26.630797916871913
1.7450461405E9	27.28456382402024
1.7528890445E9	27.289050596854754
1.7607319485E9	27.017128256949846
1.7685748525E9	26.61851806956112
1.7764177565E9	26.979367744498006
1.7842606605E9	27.202954582374698
1.7921035645E9	27.3594210178442
1.7999464685E9	27.151620669864343
1.8077893725E9	27.137854319663674
1.8138093575E9	26.382987777064468
1.8177308095E9	25.799500655980665
1.8234751805E9	26.62892683753581
1.8313180845E9	27.136346831636804
1.8391609885E9	26.55658761158162
1.8470038925E9	27.281007355469065
1.8548467965E9	27.034966066558688
1.8626897005E9	26.43107353404209
1.8705326045E9	26.47675936387465
1.8783755085E9	27.17714781641772
1.8862184125E9	26.811738553334553
1.8940613165E9	26.984485237159877
1.9019042205E9	26.739765348689183
1.9097471245E9	27.02457645388384
1.9175900285E9	26.548021283269147
1.9254329325E9	26.957306359370136
1.9332758365E9	27.341818542563725
1.9411187405E9	27.168685907308205
1.9479772995E9	27.30402891302659
1.9518987515E9	26.533310623487864
1.9568045485E9	26.577945647483425
1.9646474525E9	27.087085883641517
1.9724903565E9	26.914595539257117
1.9803332605E9	26.686688859581174
1.9881761645E9	26.464148056631014
1.9960190685E9	27.154881410257797
2.0038619725E9	27.412318942411876
2.0117048765E9	26.832885006153667
2.0195477805E9	27.185037088948043
2.0273906845E9	27.34619574849936
2.0352335885E9	26.91402163462373
2.0430764925E9	27.072185749669284
2.0509193965E9	27.24592241549853
2.0587623005E9	27.606483297862496
2.0666052045E9	27.565169675226052
2.0744481085E9	27.126680529785677
2.081567931E9	26.38499869759163
2.085489383E9	0.0
2.0901339165E9	0.0
2.0979768205E9	0.0
2.1058197245E9	25.540045418568546
2.1136626285E9	27.143232403822523
2.1215055325E9	26.887461425046066
2.1293484365E9	26.90412722203337
2.1371913405E9	27.20003017740509
2.1450342445E9	26.92383710670737
2.1528771485E9	26.818290080061413
2.1607200525E9	27.041044458521366
2.1685629565E9	27.08002479677379
2.1764058605E9	26.865275710811957
2.1842487645E9	27.310754781863086
2.1920916685E9	26.73158859205199
2.19797465E9	27.208077357965127
2.201896102E9	0.0
2.2077774765E9	0.0
2.2156203805E9	21.271176102472296
2.2234632845E9	26.32597484375663
2.2313061885E9	27.01250322811002
2.2391490925E9	26.767790891060315
2.2469919965E9	27.333447967174468
2.2548349005E9	26.812018082006553
2.2626778045E9	27.249645912559856
2.2705207085E9	27.503678872695513
2.2783636125E9	27.417054511808477
2.2862065165E9	27.239759207282454
2.2940494205E9	27.558209185695418
2.3018923245E9	27.305819240137993
2.306549748E9	24.501849916683142
2.3104712E9	0.0
2.3175781325E9	0.0
2.3254210365E9	18.2788527629085
2.3332639405E9	25.369053949312075
2.3411068445E9	26.583434693536024
2.3489497485E9	27.25929636288781
2.3567926525E9	27.3075905164179
2.3646355565E9	26.789096503759193
2.3724784605E9	27.061163841547486
2.3803213645E9	26.976203559955117
2.3881642685E9	27.00030721860665
2.3960071725E9	27.192137487643585
2.4038500765E9	27.209851706713234
2.40879432E9	27.025502522130893
2.412715772E9	26.994865976128573
2.4195358845E9	26.66386195921683
2.4273787885E9	26.04462074521518
2.4352216925E9	26.793526664771996
2.4430645965E9	23.50966303525133
2.4509075005E9	0.0
2.4587504045E9	19.356934940026548
2.4665933085E9	27.303656945146976
2.4744362125E9	27.33889367202373
2.4822791165E9	26.511210863590733
2.4901220205E9	26.7067554051493
2.4971076685E9	26.589745715713782
2.5010291205E9	26.813736466626295
2.5058078285E9	27.01419535665214
2.5136507325E9	26.864196613428327
2.5214936365E9	24.368281543924596
2.5293365405E9	26.986201281131972
2.5371794445E9	26.807083838008932
2.5450223485E9	26.847662977625408
2.5528652525E9	27.135242337282794
2.5607081565E9	26.924892413581222
2.5685510605E9	27.471358821998017
2.5763939645E9	26.65855080807513
2.5808412455E9	26.496666821578135
2.5847626975E9	27.115101611230635
2.5920797725E9	26.626460979378408
2.5999226765E9	26.28676934280955
2.6077655805E9	26.984842083002544
2.6156084845E9	27.408220376732793
2.6234513885E9	27.418846443990557
2.6312942925E9	27.040140806901928
2.6391371965E9	27.084755120396082
2.6469801005E9	26.624975298878237
2.6548230045E9	26.977049714069103
2.6590943895E9	26.106448449599295
2.6630158415E9	26.63013196509649
2.6705088125E9	27.392953548802335
2.6783517165E9	26.650130568742906
2.6861946205E9	25.016225399582893
2.6940375245E9	27.33773500000768
2.7018804285E9	26.60802704216841
2.7097233325E9	26.799547895288555
2.716109045E9	26.778326021226228
2.720030497E9	27.264652522435707
2.7254091405E9	27.184186986937696
2.7332520445E9	27.15871245868912
2.7410949485E9	26.937028923027064
2.7489378525E9	26.79514238681968
2.7567807565E9	27.66927960145662
2.7646236605E9	27.523019635373373
2.7724665645E9	27.258960304796577
2.778993421E9	27.051901203761627
2.782914873E9	0.0
2.7881523725E9	13.630826016315392
2.7959952765E9	23.395024088106652
2.8038381805E9	26.59742100139403
2.8116810845E9	26.93811477672555
2.8195239885E9	27.588476010457484
2.8265870805E9	27.323625081080195
2.8305085325E9	0.0
2.8352097965E9	0.0
2.8430527005E9	15.460861255922831
2.8508956045E9	26.034715969114284
2.8587385085E9	27.118656970325965
2.8665814125E9	27.446220166983593
2.8744243165E9	27.408125657299227
2.8796895275E9	26.296120182089723
2.8836109795E9	26.81495633852562
2.8901101245E9	27.367481537935
2.8979530285E9	27.594958310857535
2.9057959325E9	27.156457458149998
2.9136388365E9	27.501855326210126
2.9214817405E9	27.364102356389346
2.9293246445E9	27.25602064972754
2.9371675485E9	26.540199386192548
2.9450104525E9	24.44442200454456
2.9528533565E9	26.976051216743404
2.9606962605E9	26.987768587846073
2.9685391645E9	23.343121235950296
2.9763820685E9	26.132692988431035
2.9842249725E9	27.000341274816567
2.9920678765E9	27.182617963024757
2.9999107805E9	26.949043333503933
3.0077536845E9	27.26472909386478
3.0155965885E9	27.60051643196505
3.0234394925E9	27.096174361874237
3.0312823965E9	27.270406690954072
3.0357538475E9	26.156489711113675
3.0396752995E9	16.305990294630146
3.0469682045E9	24.11383902371954
3.0548111085E9	27.36020376207379
3.0626540125E9	24.917515005295986
3.0704969165E9	0.0
3.0783398205E9	0.0
3.0861827245E9	0.0
3.0928907945E9	7.050107402511567
3.095685698E9	23.081953043338427
3.0957472E9	12.968794076163611
3.0960741645E9	13.872284276420768
3.0966431255E9	9.63360098826436
3.097033233E9	18.764738036781395
3.097223862E9	9.387757023423966
3.0976333385E9	0.0
3.0999444835E9	3.7468776019983348
3.1038659355E9	9.718706310000933
3.106263621E9	10.142234942757591
3.1090424555E9	10.280581438688035
3.112490271E9	9.150035137034434
3.1148319025E9	10.545060331825038
3.1184476155E9	8.35454709817393
3.1211700535E9	0.0
3.1234760455E9	12.458120437956204
3.1273974975E9	12.585929971088982
3.129861781E9	14.36075857038658
3.1304963135E9	18.99395225611363
3.1306072185E9	0.0
3.130645263E9	23.68421052631579
3.130708893E9	14.526389946686976
3.1308388725E9	4.60734141243918
3.131017327E9	0.0
3.1311289185E9	0.0
3.131167044E9	24.86152131512956
3.1320275095E9	14.492485089463221
3.1328866725E9	17.083579881656803
3.1329460765E9	25.190300592244945
3.1330740255E9	20.07546204853273
3.13318182E9	14.031180400890868
3.1332044515E9	28.03361344537815
3.133252927E9	15.700552502338635
3.133378856E9	14.04602510460251
3.1334722815E9	42.0
3.1335694055E9	21.669391829265393
3.1337461175E9	16.67910131411615
3.133921666E9	7.803951113343379
3.1340726445E9	13.405791889166009
3.134227776E9	4.205607476635514
3.1344001955E9	14.498468019915741
3.134572417E9	13.23696023266106
3.134739065E9	11.399669642670458
3.1349092375E9	19.061909423257486
3.1350797375E9	24.656449374791663
3.135238337E9	6.18113572514162
3.135409466E9	14.253968253968255
3.135593124E9	26.11605873993368
3.135773198E9	16.979693933992994
3.135968631E9	10.615006707858587
3.1360817215E9	4.257944883998565
3.1361534125E9	9.972791023842918
3.1362821595E9	5.351990049751244
3.136356676E9	21.38803680981595
3.136388478E9	19.824706631492766
3.1364240165E9	19.585703865791395
3.1364580355E9	18.427377846717903
3.136501332E9	14.290017844022252
3.136544568E9	16.50446564885496
3.1365820705E9	12.566033581062483
3.1366202745E9	12.6
3.136664175E9	16.04293893129771
3.136707078E9	16.05351170568562
3.1367439595E9	13.756880733944953
