#Insert size (bp)	insert size
18.0	1.0
19.0	1.0
20.0	1.0
22.0	2.0
27.0	2.0
28.0	2.0
29.0	2.0
30.0	5.0
31.0	6.0
32.0	4.0
33.0	4.0
34.0	3.0
36.0	6.0
37.0	3.0
38.0	2.0
39.0	3.0
40.0	6.0
41.0	4.0
42.0	5.0
43.0	7.0
44.0	11.0
45.0	5.0
46.0	13.0
47.0	12.0
48.0	21.0
49.0	24.0
50.0	21.0
51.0	33.0
52.0	25.0
53.0	29.0
54.0	27.0
55.0	38.0
56.0	45.0
57.0	51.0
58.0	62.0
59.0	60.0
60.0	101.0
61.0	79.0
62.0	94.0
63.0	97.0
64.0	95.0
65.0	89.0
66.0	121.0
67.0	129.0
68.0	137.0
69.0	199.0
70.0	248.0
71.0	250.0
72.0	229.0
73.0	244.0
74.0	252.0
75.0	277.0
76.0	275.0
77.0	372.0
78.0	414.0
79.0	573.0
80.0	774.0
81.0	771.0
82.0	629.0
83.0	469.0
84.0	437.0
85.0	465.0
86.0	509.0
87.0	557.0
88.0	610.0
89.0	764.0
90.0	1195.0
91.0	1505.0
92.0	1514.0
93.0	1177.0
94.0	957.0
95.0	836.0
96.0	903.0
97.0	1091.0
98.0	1299.0
99.0	1711.0
100.0	1835.0
101.0	1954.0
102.0	2076.0
103.0	2063.0
104.0	1920.0
105.0	1735.0
106.0	1849.0
107.0	1970.0
108.0	2154.0
109.0	2435.0
110.0	2714.0
111.0	3156.0
112.0	2972.0
113.0	2696.0
114.0	2333.0
115.0	2326.0
116.0	2430.0
117.0	2670.0
118.0	2980.0
119.0	3337.0
120.0	4132.0
121.0	5356.0
122.0	6506.0
123.0	6353.0
124.0	4848.0
125.0	3843.0
126.0	3548.0
127.0	3838.0
128.0	4320.0
129.0	4774.0
130.0	5827.0
131.0	7783.0
132.0	10631.0
133.0	13742.0
134.0	14720.0
135.0	12855.0
136.0	11005.0
137.0	11235.0
138.0	13667.0
139.0	17361.0
140.0	21784.0
141.0	25784.0
142.0	26739.0
143.0	26855.0
144.0	26872.0
145.0	27018.0
146.0	26776.0
147.0	26570.0
148.0	27717.0
149.0	30045.0
150.0	33536.0
151.0	37484.0
152.0	40500.0
153.0	40991.0
154.0	38424.0
155.0	38270.0
156.0	40224.0
157.0	44594.0
158.0	50643.0
159.0	56743.0
160.0	61553.0
161.0	64787.0
162.0	67638.0
163.0	74181.0
164.0	84815.0
165.0	94182.0
166.0	99747.0
167.0	98992.0
168.0	96103.0
169.0	90988.0
170.0	85441.0
171.0	78933.0
172.0	73967.0
173.0	71738.0
174.0	69925.0
175.0	68392.0
176.0	66025.0
177.0	62554.0
178.0	57932.0
179.0	53284.0
180.0	48407.0
181.0	43377.0
182.0	39546.0
183.0	36211.0
184.0	33678.0
185.0	31683.0
186.0	30019.0
187.0	28431.0
188.0	26880.0
189.0	25303.0
190.0	23029.0
191.0	21219.0
192.0	19164.0
193.0	17546.0
194.0	16154.0
195.0	14934.0
196.0	14314.0
197.0	13537.0
198.0	13059.0
199.0	12298.0
200.0	11594.0
201.0	10745.0
202.0	10207.0
203.0	9319.0
204.0	8569.0
205.0	8096.0
206.0	7496.0
207.0	7265.0
208.0	6760.0
209.0	6496.0
210.0	6100.0
211.0	5812.0
212.0	5325.0
213.0	4982.0
214.0	4677.0
215.0	4290.0
216.0	4079.0
217.0	3637.0
218.0	3454.0
219.0	3365.0
220.0	3172.0
221.0	2999.0
222.0	2846.0
223.0	2679.0
224.0	2442.0
225.0	2296.0
226.0	2204.0
227.0	1977.0
228.0	1928.0
229.0	1821.0
230.0	1707.0
231.0	1622.0
232.0	1562.0
233.0	1512.0
234.0	1442.0
235.0	1328.0
236.0	1329.0
237.0	1231.0
238.0	1156.0
239.0	1156.0
240.0	1119.0
241.0	1177.0
242.0	1090.0
243.0	1027.0
244.0	1029.0
245.0	985.0
246.0	1018.0
247.0	978.0
248.0	1000.0
249.0	950.0
250.0	985.0
251.0	954.0
252.0	914.0
253.0	939.0
254.0	939.0
255.0	923.0
256.0	912.0
257.0	925.0
258.0	937.0
259.0	854.0
260.0	907.0
261.0	886.0
262.0	958.0
263.0	916.0
264.0	923.0
265.0	872.0
266.0	873.0
267.0	868.0
268.0	930.0
269.0	960.0
270.0	957.0
271.0	946.0
272.0	913.0
273.0	995.0
274.0	986.0
275.0	1000.0
276.0	916.0
277.0	947.0
278.0	968.0
279.0	970.0
280.0	1061.0
281.0	1089.0
282.0	1153.0
283.0	1154.0
284.0	1165.0
285.0	1223.0
286.0	1262.0
287.0	1315.0
288.0	1296.0
289.0	1361.0
290.0	1465.0
291.0	1517.0
292.0	1605.0
293.0	1676.0
294.0	1751.0
295.0	1768.0
296.0	1791.0
297.0	1984.0
298.0	2130.0
299.0	2225.0
300.0	2316.0
301.0	2348.0
302.0	2492.0
303.0	2528.0
304.0	2649.0
305.0	2896.0
306.0	2914.0
307.0	3076.0
308.0	3179.0
309.0	3316.0
310.0	3441.0
311.0	3521.0
312.0	3456.0
313.0	3675.0
314.0	3764.0
315.0	3859.0
316.0	3884.0
317.0	3832.0
318.0	3896.0
319.0	4030.0
320.0	4176.0
321.0	4052.0
322.0	4156.0
323.0	4145.0
324.0	4229.0
325.0	4095.0
326.0	4125.0
327.0	4053.0
328.0	4076.0
329.0	4005.0
330.0	4055.0
331.0	3988.0
332.0	3955.0
333.0	4143.0
334.0	4086.0
335.0	4151.0
336.0	3955.0
337.0	3921.0
338.0	3796.0
339.0	3764.0
340.0	3690.0
341.0	3664.0
342.0	3652.0
343.0	3682.0
344.0	3573.0
345.0	3364.0
346.0	3470.0
347.0	3320.0
348.0	3400.0
349.0	3345.0
350.0	3285.0
351.0	3226.0
352.0	3108.0
353.0	3007.0
354.0	2971.0
355.0	2869.0
356.0	2885.0
357.0	2844.0
358.0	2757.0
359.0	2725.0
360.0	2740.0
361.0	2610.0
362.0	2601.0
363.0	2458.0
364.0	2434.0
365.0	2391.0
366.0	2322.0
