#Mapping quality	mapping quality
0.0	3739097.0
1.0	87221.0
2.0	134892.0
3.0	3323044.0
4.0	200533.0
5.0	137825.0
6.0	98384.0
7.0	485871.0
8.0	5929050.0
9.0	70152.0
10.0	81892.0
11.0	676420.0
12.0	446441.0
13.0	254562.0
14.0	580145.0
15.0	502053.0
16.0	571359.0
17.0	562963.0
18.0	455537.0
19.0	380191.0
20.0	167474.0
21.0	801230.0
22.0	1010365.0
23.0	1.1037527E7
24.0	1.6740903E7
25.0	1033278.0
26.0	512412.0
27.0	440619.0
28.0	511567.0
29.0	1038540.0
30.0	2331607.0
31.0	2590378.0
32.0	2854829.0
33.0	2571445.0
34.0	1960676.0
35.0	1692622.0
36.0	2413438.0
37.0	1090477.0
38.0	1326382.0
39.0	1191636.0
40.0	3.0564023E7
41.0	7755672.0
42.0	3.9459586E8
