#Coverage (X)	Coverage
1.0	16.095780532371123
2.0	11.211641876246233
3.0	2.54571627912334
4.0	1.5410282714749002
5.0	0.45450577130418424
6.0	0.26230618407888073
7.0	0.09305001414804792
8.0	0.05378961608901989
9.0	0.02368619071407352
10.0	0.015193034717995602
11.0	0.009114737048435018
12.0	0.006978219529585772
13.0	0.005469594501505526
14.0	0.004806734092042575
15.0	0.004298790806402053
16.0	0.003997467437770297
17.0	0.0037551464551910385
18.0	0.0035938541410871494
19.0	0.003447894159606335
20.0	0.003321569764196397
21.0	0.003203660619945481
22.0	0.0030987249879217416
23.0	0.0029992082676386644
24.0	0.00292563857179573
25.0	0.0028453111742550163
26.0	0.0027775429015690634
27.0	0.002708021451553577
28.0	0.0026507722428306124
29.0	0.002589570416134279
30.0	0.002534839407573486
31.0	0.002480905297801428
32.0	0.0024335695099608756
33.0	0.002387795643741697
34.0	0.002342978056063316
35.0	0.0023004555368828505
36.0	0.002262363774960363
37.0	0.002222741967358388
38.0	0.0021830564078584302
39.0	0.002141203283670734
40.0	0.0021037490407707082
41.0	0.002061864040626915
42.0	0.002030019965175711
43.0	0.002000056570850006
44.0	0.0019732488957231453
45.0	0.0019436042609157766
46.0	0.0019189003985786712
47.0	0.0018943559159936285
48.0	0.0018713096031319765
49.0	0.0018482951662122105
50.0	0.0018248663419342392
51.0	0.0018032225709276872
