#GC Content (%)	Sample
1.0	9.678396560685E-7
2.0	9.678396560685E-7
3.0	9.678396560685E-7
4.0	4.8391982803425E-6
5.0	2.9035189682055E-6
6.0	6.7748775924795E-6
7.0	2.1292472433506997E-5
8.0	5.1295501771630494E-5
9.0	1.58725703595234E-4
10.0	5.429580470544285E-4
11.0	0.0018679305362122047
12.0	0.005657022789720381
13.0	0.014430489271981333
14.0	0.029872370984554246
15.0	0.049460477783724616
16.0	0.07019837809430436
17.0	0.08549992305674733
18.0	0.09339265545198597
19.0	0.0936655862349973
20.0	0.0888931688909235
21.0	0.0803548874450872
22.0	0.07071617231030101
23.0	0.060433843804229254
24.0	0.05012731930675582
25.0	0.04501228672443378
26.0	0.029905277532860576
27.0	0.02630007481400541
28.0	0.020511425831059714
29.0	0.01583192109396852
30.0	0.012197683185431303
31.0	0.009250611432702721
32.0	0.0070129661478723505
33.0	0.005791552501913903
34.0	0.004832423402750021
35.0	0.004099768783106165
36.0	0.0034590589307888185
37.0	0.0030448235579915005
38.0	0.0026015529955121276
39.0	0.002363464440119277
40.0	0.0018843838103653695
41.0	0.0014130458978600098
42.0	0.001173021663155022
43.0	0.0010288135544008154
44.0	8.69120011149513E-4
45.0	7.123299868664159E-4
46.0	5.92317869513922E-4
47.0	5.448937263665655E-4
48.0	4.97469583219209E-4
49.0	4.6165951594467447E-4
50.0	3.803609848349205E-4
51.0	3.4164739859218046E-4
52.0	2.5163831057781E-4
53.0	2.61316707138495E-4
54.0	2.1969960192754948E-4
55.0	2.1486040364720698E-4
56.0	1.964714501819055E-4
57.0	1.8001817602874095E-4
58.0	1.62597062219508E-4
59.0	1.364653915056585E-4
60.0	1.1033372079180897E-4
61.0	1.0936588113574048E-4
62.0	9.194476732650748E-5
63.0	8.323421042189098E-5
64.0	7.355581386120599E-5
65.0	5.807037936410999E-5
66.0	7.1620134549069E-5
67.0	6.387741730052099E-5
68.0	4.7424143147356495E-5
69.0	3.387438796239749E-5
70.0	3.0003029338123494E-5
71.0	3.0003029338123494E-5
72.0	2.1292472433506997E-5
73.0	1.25819155288905E-5
74.0	7.742717248548E-6
75.0	8.710556904616499E-6
76.0	4.839198280342499E-6
77.0	8.710556904616499E-6
78.0	6.7748775924795E-6
79.0	3.871358624274E-6
80.0	7.742717248548E-6
81.0	4.839198280342499E-6
82.0	1.935679312137E-6
83.0	2.9035189682055E-6
84.0	2.9035189682054995E-6
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	2.9035189682054995E-6
