#Coverage (X)	Coverage
1.0	14.175828737377898
2.0	8.185766474515532
3.0	1.1007490879180892
4.0	0.479750186026763
5.0	0.06558910514456784
6.0	0.02666783533253181
7.0	0.007162143769207319
8.0	0.004876638053488591
9.0	0.003698534765518957
10.0	0.0033683317849124705
11.0	0.0030474684580781286
12.0	0.00286338483871873
13.0	0.002653290443006995
14.0	0.002507075453920038
15.0	0.002373387713731745
16.0	0.00227291471490787
17.0	0.0021686166019065922
18.0	0.0020768457378181893
19.0	0.0019966139681315553
20.0	0.0019281763004670438
21.0	0.0018480082826783928
22.0	0.0017866470762299969
23.0	0.001718400664273645
24.0	0.0016581869920742065
25.0	0.0016107555763795744
26.0	0.0015689024521918782
27.0	0.001523351717636956
28.0	0.0014814985934492597
29.0	0.0014378922919320303
30.0	0.0013912577750261335
31.0	0.001345802668325291
32.0	0.0013136398333557509
33.0	0.0012825926566932822
34.0	0.0012483578848900834
35.0	0.0012143462447369302
36.0	0.001182629673095903
37.0	0.0011476298784600658
38.0	0.0011166145777394831
39.0	0.0010882768569473455
40.0	0.0010565921612482043
41.0	0.001024907465549063
42.0	9.954222104937571E-4
43.0	9.664150947088501E-4
44.0	9.408505816850266E-4
45.0	9.183780359478533E-4
46.0	9.018025412217412E-4
47.0	8.785012207397358E-4
48.0	8.595669056035149E-4
49.0	8.379550105530598E-4
50.0	8.191800751689016E-4
51.0	7.998313726602646E-4
