#Insert size (bp)	insert size
20.0	1.0
21.0	1.0
22.0	16.0
23.0	25.0
24.0	30.0
25.0	26.0
26.0	18.0
27.0	17.0
28.0	7.0
29.0	6.0
30.0	28.0
31.0	15.0
32.0	15.0
33.0	10.0
34.0	2.0
35.0	7.0
36.0	6.0
37.0	7.0
38.0	3.0
39.0	2.0
41.0	1.0
42.0	2.0
43.0	3.0
44.0	3.0
45.0	4.0
46.0	3.0
47.0	1.0
48.0	1.0
49.0	4.0
50.0	3.0
51.0	3.0
52.0	4.0
53.0	6.0
54.0	4.0
55.0	1.0
56.0	6.0
57.0	3.0
58.0	1.0
59.0	6.0
60.0	4.0
61.0	4.0
62.0	3.0
63.0	6.0
64.0	8.0
65.0	10.0
66.0	12.0
67.0	7.0
68.0	13.0
69.0	13.0
70.0	14.0
71.0	19.0
72.0	18.0
73.0	16.0
74.0	18.0
75.0	14.0
76.0	10.0
77.0	14.0
78.0	22.0
79.0	33.0
80.0	22.0
81.0	30.0
82.0	36.0
83.0	41.0
84.0	29.0
85.0	59.0
86.0	55.0
87.0	65.0
88.0	59.0
89.0	74.0
90.0	92.0
91.0	108.0
92.0	129.0
93.0	132.0
94.0	137.0
95.0	182.0
96.0	166.0
97.0	200.0
98.0	195.0
99.0	238.0
100.0	259.0
101.0	243.0
102.0	290.0
103.0	325.0
104.0	351.0
105.0	391.0
106.0	386.0
107.0	443.0
108.0	457.0
109.0	563.0
110.0	555.0
111.0	649.0
112.0	638.0
113.0	748.0
114.0	840.0
115.0	920.0
116.0	946.0
117.0	992.0
118.0	1187.0
119.0	1204.0
120.0	1538.0
121.0	1637.0
122.0	1677.0
123.0	1759.0
124.0	2005.0
125.0	2134.0
126.0	2273.0
127.0	2518.0
128.0	2753.0
129.0	3036.0
130.0	3265.0
131.0	3577.0
132.0	3626.0
133.0	3755.0
134.0	3906.0
135.0	4172.0
136.0	4446.0
137.0	4902.0
138.0	5321.0
139.0	5952.0
140.0	6455.0
141.0	7324.0
142.0	8106.0
143.0	8821.0
144.0	9505.0
145.0	10135.0
146.0	11144.0
147.0	11638.0
