#Coverage	Number of genomic locations
0.0	2.692442656E9
1.0	1.87917913E8
2.0	2.22268421E8
3.0	1.9481737E7
4.0	1.2992901E7
5.0	1221023.0
6.0	611925.0
7.0	71700.0
8.0	36959.0
9.0	10359.0
10.0	10066.0
11.0	5775.0
12.0	6591.0
13.0	4587.0
14.0	4194.0
15.0	3152.0
16.0	3272.0
17.0	2879.0
18.0	2517.0
19.0	2147.0
20.0	2515.0
21.0	1925.0
22.0	2141.0
23.0	1889.0
24.0	1488.0
25.0	1313.0
26.0	1429.0
27.0	1313.0
28.0	1368.0
29.0	1463.0
30.0	1426.0
31.0	1009.0
32.0	974.0
33.0	1074.0
34.0	1067.0
35.0	995.0
36.0	1098.0
37.0	973.0
38.0	889.0
39.0	994.0
40.0	994.0
41.0	925.0
42.0	910.0
43.0	802.0
44.0	705.0
45.0	520.0
46.0	731.0
47.0	594.0
48.0	678.0
49.0	589.0
50.0	607.0
51.0	559.0
52.0	490.0
53.0	445.0
54.0	486.0
55.0	564.0
56.0	549.0
57.0	502.0
58.0	424.0
59.0	372.0
60.0	383.0
61.0	365.0
62.0	322.0
63.0	320.0
64.0	329.0
65.0	300.0
66.0	297.0
67.0	246.0
68.0	300.0
69.0	275.0
70.0	338.0
71.0	272.0
72.0	260.0
73.0	286.0
74.0	252.0
75.0	224.0
76.0	223.0
77.0	263.0
78.0	275.0
79.0	185.0
80.0	214.0
81.0	211.0
82.0	189.0
83.0	265.0
84.0	216.0
85.0	226.0
86.0	229.0
87.0	234.0
88.0	200.0
89.0	235.0
90.0	194.0
91.0	264.0
92.0	222.0
93.0	208.0
94.0	199.0
95.0	247.0
96.0	195.0
97.0	177.0
98.0	202.0
99.0	175.0
100.0	163.0
101.0	187.0
102.0	156.0
103.0	171.0
104.0	179.0
105.0	169.0
106.0	191.0
107.0	223.0
108.0	177.0
109.0	174.0
110.0	144.0
111.0	209.0
112.0	179.0
113.0	140.0
114.0	102.0
115.0	142.0
116.0	131.0
117.0	110.0
