#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	3.6438633696990897E-6
5.0	0.0
6.0	0.0
7.0	0.0
8.0	3.6438633696990897E-6
9.0	0.0
10.0	3.6438633696990897E-6
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	3.6438633696990897E-6
16.0	0.0
17.0	3.6438633696990897E-6
18.0	7.287726739398179E-6
19.0	3.6438633696990897E-6
20.0	7.287726739398179E-6
21.0	3.6438633696990897E-6
22.0	1.0931590109097269E-5
23.0	1.0931590109097269E-5
24.0	4.008249706668999E-5
25.0	1.9312475859405175E-4
26.0	3.498108834911126E-4
27.0	9.146097057944715E-4
28.0	0.0020587828038799855
29.0	0.00436170445352981
30.0	0.007437125137555842
31.0	0.012068475480443385
32.0	0.018605566365683553
33.0	0.025809484247578653
34.0	0.03331219892578908
35.0	0.04103354540618145
36.0	0.050143203830429174
37.0	0.05597702908531742
38.0	0.061144027343550726
39.0	0.06368380011223099
40.0	0.06329755059504288
41.0	0.061807210476835954
42.0	0.05754753419765773
43.0	0.05330607723532799
44.0	0.04975695431324107
45.0	0.04519848123774751
46.0	0.04017359365093246
47.0	0.035939424415342126
48.0	0.03224090309509755
49.0	0.02815248839429517
50.0	0.02463980410590525
51.0	0.02305836740345584
52.0	0.016229767448639746
53.0	0.015613954539160601
54.0	0.013198073125050103
55.0	0.01108463237062463
56.0	0.009186179555011406
57.0	0.008147678494647164
58.0	0.006679201556658432
59.0	0.00536376688019706
60.0	0.004536609895275367
61.0	0.00368394586676578
62.0	0.0031883804484867033
63.0	0.0024668955012862835
64.0	0.002022344170182995
65.0	0.001501271708316025
66.0	0.0012134065021097969
67.0	8.781710720974806E-4
68.0	7.214849472004198E-4
69.0	4.664145113214835E-4
70.0	3.170161131638208E-4
71.0	1.8948089522435266E-4
72.0	1.5304226152736177E-4
73.0	1.1660362783037087E-4
74.0	6.92334040242827E-5
75.0	6.558954065458361E-5
76.0	5.4657950545486346E-5
77.0	7.652113076368088E-5
78.0	9.109658424247724E-5
79.0	2.9150906957592718E-5
80.0	5.1014087175787256E-5
81.0	4.7370223806088166E-5
82.0	5.1014087175787256E-5
83.0	3.64386336969909E-5
84.0	3.64386336969909E-5
85.0	2.5507043587893628E-5
86.0	2.5507043587893628E-5
87.0	1.821931684849545E-5
88.0	1.821931684849545E-5
89.0	7.287726739398179E-6
90.0	1.0931590109097269E-5
91.0	3.6438633696990897E-6
92.0	3.6438633696990897E-6
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	7.287726739398179E-6
