#Coverage (X)	Coverage
1.0	5.00638455543546
2.0	3.24583202554804
3.0	0.15103950996635263
4.0	0.08298173988927715
5.0	0.01495084123924073
6.0	0.012011719139962906
7.0	0.009560012213626123
8.0	0.008612690813833979
9.0	0.007748374391496782
10.0	0.007071137927951554
11.0	0.006436551487382758
12.0	0.005878945469461883
13.0	0.005381712503506719
14.0	0.004951737795011013
15.0	0.004562309296701983
16.0	0.00423226569586177
17.0	0.003936169983262516
18.0	0.00367864417187036
19.0	0.0034263778924525923
20.0	0.003206688835376781
21.0	0.0030060297212770593
22.0	0.0028257393401389663
23.0	0.0026665508388248327
24.0	0.0025144706746687007
25.0	0.002378774749544732
26.0	0.002255733577129604
27.0	0.0021484072487538697
28.0	0.0020526837666920983
29.0	0.001964291753452585
30.0	0.0018754534768845588
31.0	0.0017991743251712933
32.0	0.001733828624793432
33.0	0.001666538491377878
34.0	0.0015972720489685344
35.0	0.0015363889817905374
36.0	0.0014723183194718104
37.0	0.001413029049857073
38.0	0.001355429205673886
39.0	0.0013089859444761487
40.0	0.0012671646962303384
41.0	0.0012273516329202039
42.0	0.0011923199623282699
43.0	0.0011549932232384208
44.0	0.0011205034438148687
45.0	0.0010892331354881435
46.0	0.0010589191057022163
47.0	0.0010301032456254688
48.0	9.992473246711597E-4
49.0	9.693476822576486E-4
50.0	9.453769667970846E-4
51.0	9.159554636539724E-4
