#Position (bp)	insert size
3921452.5	175.60137457044672
1.17643565E7	180.14532600157108
1.96072605E7	178.47990213212162
2.74501645E7	182.7519878833775
3.52930685E7	177.51334622823984
4.31359725E7	180.5964447806354
5.09788765E7	181.13685427910562
5.88217805E7	180.70212765957447
6.66646845E7	181.2411522633745
7.45075885E7	180.3474257011302
8.23504925E7	179.45593220338984
9.01933965E7	180.35284683239774
9.80363005E7	178.65022793203482
1.058792045E8	177.22308749427393
1.137221085E8	174.62262626262626
1.215650125E8	175.65488882120013
1.294079165E8	0.0
1.372508205E8	0.0
1.450937245E8	177.23574468085107
1.529366285E8	178.8457095709571
1.607795325E8	178.24499165275458
1.686224365E8	176.95702621400946
1.764653405E8	173.32432432432432
1.843082445E8	174.9106239460371
1.921511485E8	179.70840950639854
1.999940525E8	180.62220414802766
2.078369565E8	180.384176182708
2.156798605E8	179.97597977243996
2.235227645E8	179.0958623514953
2.313656685E8	179.65913594926676
2.392085725E8	177.90875155537123
2.46190323E8	179.07662835249042
2.50111775E8	176.74636510500807
2.548943805E8	178.69467787114846
2.627372845E8	181.21555727554178
2.705801885E8	180.1103088648215
2.784230925E8	178.52641955835963
2.862659965E8	180.34602368866328
2.941089005E8	178.93503480278423
3.019518045E8	179.74480712166172
3.097947085E8	181.96924969249693
3.176376125E8	179.84134033104561
3.254805165E8	179.1483193277311
3.333234205E8	179.83724763081995
3.411663245E8	180.9568285595683
3.490092285E8	178.2063552833078
3.568521325E8	177.61349939734833
3.646950365E8	179.06628477905073
3.725379405E8	178.4035228182546
3.803808445E8	178.86967984934086
3.882237485E8	179.462388440289
3.960666525E8	181.76690391459076
4.039095565E8	180.76010208421948
4.117524605E8	180.78843736908254
4.195953645E8	179.9148489932886
4.274382685E8	179.88516550878626
4.352811725E8	180.9377664109122
4.431240765E8	179.23511516731855
4.509669805E8	180.44084278768233
4.588098845E8	179.6582498911624
4.666527885E8	179.25186934277843
4.744956925E8	177.91196293176074
4.823385965E8	177.60873047657188
4.893550215E8	175.02572016460906
4.932764735E8	176.70696721311475
4.980244045E8	172.67176220806795
5.058673085E8	174.47083333333333
5.137102125E8	178.34306260575295
5.215531165E8	174.58393540161495
5.293960205E8	176.51915240423799
5.372389245E8	177.61174089068825
5.450818285E8	182.17599067599068
5.529247325E8	179.92265193370164
5.607676365E8	179.72083333333333
5.686105405E8	176.47889125799574
5.764534445E8	179.49490268767377
5.842963485E8	181.20344827586206
5.921392525E8	179.0746455379483
5.999821565E8	180.71026842778014
6.078250605E8	179.14366319444446
6.156679645E8	180.78974158183243
6.235108685E8	179.434765625
6.313537725E8	179.52379032258065
6.391966765E8	181.07272727272726
6.470395805E8	179.195775792039
6.548824845E8	179.0009086778737
6.627253885E8	179.6302740321879
6.705682925E8	179.51306620209058
6.784111965E8	181.4083985179086
6.862541005E8	177.9534516765286
6.903239885E8	179.08235294117648
6.942454405E8	177.7426944971537
7.019399085E8	179.2294186500195
7.097828125E8	177.0570824524313
7.176257165E8	178.4882154882155
7.254686205E8	178.69534368070953
7.333115245E8	178.0780991735537
7.411544285E8	178.46259625962597
7.489973325E8	177.17677642980937
7.568402365E8	178.82758620689654
7.646831405E8	173.9803334758444
