#Coverage	Number of genomic locations
0.0	2.980102907E9
1.0	5.5231372E7
2.0	9.7088632E7
3.0	2135082.0
4.0	2134239.0
5.0	92205.0
6.0	76914.0
7.0	29719.0
8.0	27115.0
9.0	21246.0
10.0	19908.0
11.0	17493.0
12.0	15599.0
13.0	13489.0
14.0	12217.0
15.0	10354.0
16.0	9289.0
17.0	8079.0
18.0	7914.0
19.0	6892.0
20.0	6295.0
21.0	5656.0
22.0	4994.0
23.0	4771.0
24.0	4257.0
25.0	3860.0
26.0	3367.0
27.0	3003.0
28.0	2773.0
29.0	2787.0
30.0	2393.0
31.0	2050.0
32.0	2111.0
33.0	2173.0
34.0	1910.0
35.0	2010.0
36.0	1860.0
37.0	1807.0
38.0	1457.0
39.0	1312.0
40.0	1249.0
41.0	1099.0
42.0	1171.0
43.0	1082.0
44.0	981.0
45.0	951.0
46.0	904.0
47.0	968.0
48.0	938.0
49.0	752.0
50.0	923.0
51.0	788.0
52.0	777.0
53.0	624.0
54.0	686.0
55.0	590.0
56.0	576.0
57.0	658.0
58.0	664.0
59.0	611.0
60.0	512.0
61.0	492.0
62.0	546.0
63.0	478.0
64.0	402.0
65.0	449.0
66.0	431.0
67.0	367.0
68.0	319.0
69.0	398.0
70.0	381.0
71.0	418.0
72.0	394.0
73.0	365.0
74.0	308.0
75.0	287.0
76.0	220.0
77.0	299.0
78.0	267.0
79.0	219.0
80.0	277.0
81.0	298.0
82.0	297.0
83.0	323.0
84.0	257.0
85.0	246.0
86.0	256.0
87.0	236.0
88.0	235.0
89.0	228.0
90.0	202.0
91.0	153.0
92.0	177.0
93.0	166.0
94.0	148.0
95.0	138.0
96.0	157.0
97.0	143.0
98.0	126.0
99.0	120.0
100.0	196.0
101.0	145.0
102.0	161.0
103.0	151.0
104.0	199.0
105.0	178.0
106.0	173.0
107.0	165.0
108.0	137.0
109.0	124.0
110.0	84.0
111.0	99.0
112.0	79.0
113.0	91.0
114.0	113.0
115.0	88.0
116.0	91.0
117.0	114.0
118.0	98.0
119.0	114.0
120.0	111.0
121.0	105.0
122.0	119.0
123.0	100.0
124.0	106.0
125.0	96.0
126.0	84.0
127.0	69.0
128.0	63.0
129.0	78.0
130.0	82.0
131.0	84.0
132.0	66.0
133.0	88.0
134.0	77.0
135.0	66.0
136.0	77.0
137.0	56.0
138.0	47.0
139.0	60.0
140.0	61.0
141.0	53.0
142.0	61.0
143.0	39.0
144.0	69.0
145.0	45.0
146.0	38.0
147.0	46.0
148.0	47.0
149.0	32.0
150.0	40.0
151.0	30.0
152.0	31.0
153.0	30.0
154.0	47.0
155.0	37.0
156.0	47.0
157.0	58.0
158.0	44.0
159.0	39.0
160.0	47.0
