#Position (bp)	Coverage
3921452.5	0.10180846278368319
1.17643565E7	0.09774517194141354
1.96072605E7	0.10880854846623139
2.74501645E7	0.10080500794093616
3.52930685E7	0.0983761882078373
4.31359725E7	0.10054375267120444
5.09788765E7	0.09890099381555607
5.88217805E7	0.10133669875342093
6.66646845E7	0.0931944341024702
7.45075885E7	0.0915103640182259
8.23504925E7	0.09078104232819884
9.01933965E7	0.0950227109754244
9.80363005E7	0.09472180202639227
1.058792045E8	0.0866458393472622
1.137221085E8	0.09984821948604751
1.215650125E8	0.13203349167604245
1.294079165E8	0.0
1.372508205E8	0.0
1.450937245E8	0.09027230219826737
1.529366285E8	0.0950785576363041
1.607795325E8	0.0936116265097724
1.686224365E8	0.09184047133561753
1.764653405E8	0.09223637060966193
1.843082445E8	0.09289811528994872
1.921511485E8	0.08405904241592145
1.999940525E8	0.0947606906829409
2.078369565E8	0.09449854288666545
2.156798605E8	0.09108768894786931
2.235227645E8	0.09395945685424685
2.313656685E8	0.09638598151909038
2.392085725E8	0.09240148802025372
2.46190323E8	0.0900616394119724
2.50111775E8	0.10630973455951813
2.548943805E8	0.09614907947362354
2.627372845E8	0.09903997294879549
2.705801885E8	0.09610585568814817
2.784230925E8	0.09658667248763979
2.862659965E8	0.09063109786885062
2.941089005E8	0.09832913930860304
3.019518045E8	0.08951926480293523
3.097947085E8	0.09332448797027224
3.176376125E8	0.09488679193319209
3.254805165E8	0.09044251976053767
3.333234205E8	0.09286177670923933
3.411663245E8	0.09543697079551146
3.490092285E8	0.09942822199532214
3.568521325E8	0.09547216184209319
3.646950365E8	0.09377189877626961
3.725379405E8	0.09545724389843353
3.803808445E8	0.10113996040242237
3.882237485E8	0.09010947985593092
3.960666525E8	0.08546018158580036
4.039095565E8	0.09022627332936882
4.117524605E8	0.09080616057521551
4.195953645E8	0.09116278868133539
4.274382685E8	0.0935756704404389
4.352811725E8	0.09007849643448396
4.431240765E8	0.08756667173281733
4.509669805E8	0.09409410085855953
4.588098845E8	0.08821235093531682
4.666527885E8	0.09624687488205899
4.744956925E8	0.09127180442346355
4.823385965E8	0.09697377400003876
4.893550215E8	0.09727548511731766
4.932764735E8	0.08748619142168161
4.980244045E8	0.09373607021072806
5.058673085E8	0.09765948939321456
5.137102125E8	0.09175440627604264
5.215531165E8	0.0920933113550797
5.293960205E8	0.09610547317677227
5.372389245E8	0.0965365634973984
5.450818285E8	0.09851363729557316
5.529247325E8	0.09640319453100535
5.607676365E8	0.09134448158488233
5.686105405E8	0.08952819006837263
5.764534445E8	0.0837036893477212
5.842963485E8	0.05569964900756148
5.921392525E8	0.0919624924645259
5.999821565E8	0.0897968405580382
6.078250605E8	0.08757202689207977
6.156679645E8	0.09731701420800254
6.235108685E8	0.09760083764891168
6.313537725E8	0.09527300091904733
6.391966765E8	0.09039190075512846
6.470395805E8	0.09392133322044997
6.548824845E8	0.084238695258797
6.627253885E8	0.08825965484213501
6.705682925E8	0.08802683291801099
6.784111965E8	0.09358574324000396
6.862541005E8	0.09734519254602632
6.903239885E8	0.08576760354630952
6.942454405E8	0.10462836627249925
7.019399085E8	0.09750036466084501
7.097828125E8	0.08965594886791933
7.176257165E8	0.09107685112555247
7.254686205E8	0.08707042697449822
7.333115245E8	0.0919011631405918
7.411544285E8	0.06956708892522463
7.489973325E8	0.08821260594290074
7.568402365E8	0.08962343540096883
7.646831405E8	0.0917662641286952
7.725260445E8	0.0933619740851093
7.803689485E8	0.09147007281996566
7.882118525E8	0.09029729294149208
7.960547565E8	0.08924423912367153
8.038976605E8	0.08988099306073363
8.117405645E8	0.08844861546182384
8.195834685E8	0.08774326448468578
8.274263725E8	0.08305380252008694
8.352692765E8	0.09526560569911349
8.431121805E8	0.09443134838830107
8.509550845E8	0.08676658543825093
8.587979885E8	0.08944340004671739
8.666408925E8	0.08893631746608144
8.744837965E8	0.08991197648218058
8.800159745E8	0.10221198391284426
8.839374265E8	0.10000493351440197
8.901696045E8	0.0968743210423078
8.980125085E8	0.0957283169601464
9.058554125E8	0.08743674536880727
9.136983165E8	0.09099869130107929
9.215412205E8	0.09468890604806587
9.293841245E8	0.0585533113754803
9.372270285E8	0.09280860762799086
9.450699325E8	0.09636749346925577
9.529128365E8	0.09355590735268467
9.607557405E8	0.09390794532229388
9.685986445E8	0.08628895623355838
