#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	3.763002349054216E-6
5.0	5.644503523581325E-6
6.0	6.585254110844878E-6
7.0	2.351876468158885E-5
8.0	5.73857858230768E-5
9.0	1.7968336216733885E-4
10.0	6.754589216552318E-4
11.0	0.002135503833088268
12.0	0.006020803758486746
13.0	0.013829033632774245
14.0	0.027360790079973208
15.0	0.04495941131591252
16.0	0.0636558884871884
17.0	0.07756676742105456
18.0	0.08569014874207535
19.0	0.08820947881476716
20.0	0.08607209348050435
21.0	0.08082270520357374
22.0	0.07324119622081675
23.0	0.0644865712557421
24.0	0.05511575465600985
25.0	0.051050771368444034
26.0	0.034226387865822626
27.0	0.031202815478357557
28.0	0.02491295705191344
29.0	0.019671094779680914
30.0	0.0153840943535209
31.0	0.011485623919900732
32.0	0.008717935692171356
33.0	0.007033051390382331
34.0	0.0056764890435482855
35.0	0.004432816767185866
36.0	0.0035729707304269784
37.0	0.0028946895570099557
38.0	0.002399854748109327
39.0	0.001850456405147411
40.0	0.0013941923703245872
41.0	9.454543401998719E-4
42.0	8.024602509358118E-4
43.0	5.663318535326596E-4
44.0	3.9417449606342917E-4
45.0	2.8975118087717466E-4
46.0	2.2201713859419875E-4
47.0	1.7497960923102104E-4
48.0	1.1571232223341716E-4
49.0	1.0442331518625451E-4
50.0	7.055629404476656E-5
51.0	4.8919030537704815E-5
52.0	3.0104018792433733E-5
53.0	2.728176703064307E-5
54.0	1.6933510570743973E-5
55.0	1.3170508221689758E-5
56.0	1.1289007047162648E-5
57.0	7.526004698108432E-6
58.0	3.763002349054216E-6
59.0	6.585254110844878E-6
60.0	2.822251761790662E-6
61.0	4.7037529363177705E-6
62.0	3.763002349054216E-6
63.0	4.70375293631777E-6
64.0	6.585254110844878E-6
65.0	6.585254110844878E-6
66.0	9.40750587263554E-7
67.0	5.644503523581324E-6
68.0	3.763002349054216E-6
69.0	3.763002349054216E-6
70.0	3.763002349054216E-6
71.0	7.526004698108433E-6
72.0	7.526004698108432E-6
73.0	6.585254110844878E-6
74.0	3.763002349054216E-6
75.0	6.585254110844879E-6
76.0	6.585254110844879E-6
77.0	4.7037529363177705E-6
78.0	7.526004698108432E-6
79.0	4.7037529363177705E-6
80.0	5.644503523581324E-6
81.0	7.526004698108432E-6
82.0	3.763002349054216E-6
83.0	1.881501174527108E-6
84.0	0.0
85.0	9.40750587263554E-7
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.881501174527108E-6
