#Mapping quality	mapping quality
0.0	3440368.0
1.0	81817.0
2.0	127812.0
3.0	3014243.0
4.0	201131.0
5.0	127179.0
6.0	107345.0
7.0	505798.0
8.0	5571627.0
9.0	67171.0
10.0	78055.0
11.0	682708.0
12.0	447612.0
13.0	231158.0
14.0	554029.0
15.0	470227.0
16.0	553461.0
17.0	528764.0
18.0	423477.0
19.0	345132.0
20.0	142736.0
21.0	730483.0
22.0	963793.0
23.0	1.062888E7
24.0	1.6398772E7
25.0	913907.0
26.0	489738.0
27.0	422449.0
28.0	434206.0
29.0	953349.0
30.0	2301043.0
31.0	2738071.0
32.0	2764631.0
33.0	2381664.0
34.0	1975443.0
35.0	1588761.0
36.0	2331348.0
37.0	1064199.0
38.0	1367829.0
39.0	1269338.0
40.0	3.0316508E7
41.0	7240256.0
42.0	4.15209568E8
