#Coverage (X)	Coverage
1.0	16.645178301551283
2.0	11.753722998920722
3.0	2.5226186778519377
4.0	1.517229176140944
5.0	0.4254301222303951
6.0	0.24198370313678197
7.0	0.08400664735479779
8.0	0.04832556800305099
9.0	0.02148200055040661
10.0	0.013963898031846611
11.0	0.008643036719561792
12.0	0.006769718931451507
13.0	0.0054373997905941
14.0	0.0048165518850851186
15.0	0.004393303002331095
16.0	0.004096665398563459
17.0	0.003859380816308544
18.0	0.0036712489511216972
19.0	0.0035103391484341273
20.0	0.003374037580229583
21.0	0.003260718572988708
22.0	0.003158811156353636
23.0	0.0030671996720172956
24.0	0.0029834615476715953
25.0	0.0029045366920001925
26.0	0.002828289416243024
27.0	0.0027588635940816175
28.0	0.00270155063346067
29.0	0.002650294103602846
30.0	0.0026049983766540663
31.0	0.0025509367630718316
32.0	0.0025029315802527208
33.0	0.0024519619339571364
34.0	0.0024062199436940546
35.0	0.0023598085584524142
36.0	0.0023098908185517075
37.0	0.002271926560425186
38.0	0.00223268726423953
39.0	0.002199536274773095
40.0	0.0021666721688688995
41.0	0.0021371869138135935
42.0	0.0021034940331787766
43.0	0.002072000593187795
44.0	0.002042005322920204
45.0	0.00200697365232827
46.0	0.001974778941402633
47.0	0.0019391097517740263
48.0	0.0019093694891125779
49.0	0.0018824980620735232
50.0	0.001859132989693535
51.0	0.0018348435147288455
