#Coverage (X)	Coverage
1.0	4.827610226415189
2.0	3.4898704525123776
3.0	0.15902070630691867
4.0	0.10287829436873608
5.0	0.013952231433648876
6.0	0.011154447302899939
7.0	0.007935486226244848
8.0	0.007068715355643462
9.0	0.006254794812477371
10.0	0.005708568509206202
11.0	0.005236645048654509
12.0	0.004844347714723085
13.0	0.004475734212675775
14.0	0.004213235752857258
15.0	0.003960459458212995
16.0	0.003738762216187297
17.0	0.003504027710036439
18.0	0.0032946027093032626
19.0	0.0030969080586942255
20.0	0.0029170958168265315
21.0	0.0027300796099325453
22.0	0.00257315430116023
23.0	0.0024350039277720725
24.0	0.002311803375590671
25.0	0.0022063896042965325
26.0	0.0020994776632790035
27.0	0.0019925019703634916
28.0	0.0018942921640814347
29.0	0.0018028400594971572
30.0	0.0017189106794432973
31.0	0.0016386151578586805
32.0	0.0015735244650869618
33.0	0.001505214301232627
34.0	0.0014449050011791087
35.0	0.00138628512654293
36.0	0.0013311078546678345
37.0	0.0012758030789825625
38.0	0.001231814266049014
39.0	0.0011859766479318523
40.0	0.0011471517391186126
41.0	0.0011076893112829111
42.0	0.001072275129274658
43.0	0.0010364465598939887
44.0	0.0010020524083245164
45.0	9.688057910040015E-4
46.0	9.403724423577842E-4
47.0	9.150310609840062E-4
48.0	8.923035076264796E-4
49.0	8.681734124138529E-4
50.0	8.464021376113351E-4
51.0	8.21092632193654E-4
