#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	3.6167019295104794E-6
13.0	3.6167019295104794E-6
14.0	0.0
15.0	0.0
16.0	0.0
17.0	3.6167019295104794E-6
18.0	7.233403859020959E-6
19.0	7.233403859020959E-6
20.0	1.0850105788531438E-5
21.0	1.4466807718041918E-5
22.0	2.5316913506573357E-5
23.0	2.1700211577062875E-5
24.0	1.0488435595580389E-4
25.0	2.3508562541818117E-4
26.0	3.8337040452811084E-4
27.0	9.87359626756361E-4
28.0	0.001916852022640554
29.0	0.004123040199641947
30.0	0.007005551637461799
31.0	0.011099658221667662
32.0	0.01649939420242681
33.0	0.022879256406083293
34.0	0.029942675274417258
35.0	0.037874102605833744
36.0	0.04468435233910197
37.0	0.05260492956472992
38.0	0.05741875983290837
39.0	0.05997215139514277
40.0	0.06128863089748458
41.0	0.060413389030543045
42.0	0.057859997468308645
43.0	0.05362483950885188
44.0	0.05014557225266279
45.0	0.046818206477513155
46.0	0.04280366733575652
47.0	0.03923759923325919
48.0	0.03484692309083347
49.0	0.03083238394907684
50.0	0.026987829798007196
51.0	0.025772617949691677
52.0	0.018260728042098412
53.0	0.017139550443950165
54.0	0.014868261632217581
55.0	0.012766957811171991
56.0	0.010524602614875495
57.0	0.008947720573608925
58.0	0.007978444456500118
59.0	0.006199027107180962
60.0	0.005482920125137887
61.0	0.004325575507694533
62.0	0.003511817573554676
63.0	0.002911445053255936
64.0	0.0020687535036799944
65.0	0.0017721839454601352
66.0	0.0013815801370730032
67.0	0.0010524602614875493
68.0	6.329228376643339E-4
69.0	4.665545489068518E-4
70.0	2.965695582198593E-4
71.0	1.6636828875748205E-4
72.0	1.8806850033454493E-4
73.0	6.148393280167814E-5
74.0	4.701712508363623E-5
75.0	4.701712508363623E-5
76.0	5.0633827013146714E-5
77.0	6.510063473118863E-5
78.0	4.340042315412575E-5
79.0	5.425052894265719E-5
80.0	2.8933615436083835E-5
81.0	3.6167019295104795E-5
82.0	2.1700211577062875E-5
83.0	2.1700211577062875E-5
84.0	3.6167019295104795E-5
85.0	2.1700211577062875E-5
86.0	1.0850105788531438E-5
87.0	1.8083509647552397E-5
88.0	1.4466807718041918E-5
89.0	1.4466807718041918E-5
90.0	0.0
91.0	0.0
92.0	3.6167019295104794E-6
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
