#Duplication rate	Coverage
1.0	1365466.0
2.0	251396.0
3.0	1954.0
4.0	1765.0
5.0	363.0
6.0	257.0
7.0	148.0
8.0	74.0
9.0	57.0
10.0	55.0
11.0	25.0
12.0	27.0
13.0	20.0
14.0	6.0
15.0	10.0
16.0	13.0
17.0	2.0
18.0	6.0
19.0	3.0
20.0	4.0
21.0	0.0
22.0	5.0
23.0	2.0
24.0	2.0
25.0	0.0
26.0	2.0
27.0	2.0
28.0	0.0
29.0	1.0
30.0	0.0
31.0	1.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	1.0
39.0	0.0
40.0	0.0
41.0	1.0
42.0	0.0
43.0	0.0
44.0	1.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	1.0
49.0	0.0
50.0	1.0
