#Position (bp)	mapping quality
3921452.5	36.15285559719055
1.17643565E7	38.86723977075836
1.96072605E7	38.0478735212965
2.74501645E7	40.17005002172554
3.52930685E7	41.02585180177495
4.31359725E7	40.7281257779479
5.09788765E7	40.37282991609413
5.88217805E7	40.78210392517167
6.66646845E7	40.682277714871525
7.45075885E7	40.646180602084634
8.23504925E7	39.61135101977755
9.01933965E7	40.486374774186814
9.80363005E7	40.79900720180864
1.058792045E8	38.100050771275406
1.137221085E8	40.50629781251292
1.215650125E8	18.519989234887277
1.294079165E8	0.0
1.372508205E8	0.0
1.450937245E8	17.28359218384745
1.529366285E8	37.64848366121711
1.607795325E8	38.88000125304242
1.686224365E8	40.66640754923762
1.764653405E8	40.72806532823915
1.843082445E8	40.814808651380964
1.921511485E8	40.92569648537167
1.999940525E8	40.29430844831284
2.078369565E8	39.56321225919972
2.156798605E8	40.88456084006734
2.235227645E8	40.14690252751006
2.313656685E8	39.50354874993838
2.392085725E8	40.20129844647279
2.46190323E8	38.059059477749805
2.50111775E8	39.34904223426643
2.548943805E8	40.85610398663997
2.627372845E8	40.72347697180656
2.705801885E8	40.78588083040736
2.784230925E8	40.964161603011846
2.862659965E8	40.52060421641682
2.941089005E8	41.00854958799238
3.019518045E8	40.93791146213085
3.097947085E8	40.72640750741634
3.176376125E8	40.60357558489506
3.254805165E8	40.26791207936825
3.333234205E8	36.31434474578155
3.411663245E8	13.36505553359643
3.490092285E8	37.208299093159056
3.568521325E8	36.35024141123939
3.646950365E8	36.25670284639129
3.725379405E8	40.5701499794107
3.803808445E8	35.32978842230884
3.882237485E8	40.762269041623995
3.960666525E8	40.82103806871199
4.039095565E8	40.49916061786472
4.117524605E8	40.21690353455494
4.195953645E8	40.66187106599977
4.274382685E8	40.74777342701616
4.352811725E8	40.562740172390995
4.431240765E8	40.762686858605804
4.509669805E8	40.92623768558251
4.588098845E8	40.76711209794342
4.666527885E8	40.927948023961314
4.744956925E8	40.9814532479765
4.823385965E8	40.440108166410255
4.893550215E8	40.01670833781343
4.932764735E8	39.484753713838934
4.980244045E8	40.64346088870118
5.058673085E8	40.78734287290308
5.137102125E8	40.401276784446765
5.215531165E8	40.62994416977816
5.293960205E8	40.384027884494486
5.372389245E8	40.62750647713561
5.450818285E8	40.618056574711275
5.529247325E8	40.65520778963661
5.607676365E8	40.97442409888586
5.686105405E8	38.594149799146294
5.764534445E8	40.725397835365314
5.842963485E8	39.264020548751766
5.921392525E8	40.31868195747827
5.999821565E8	40.81209988584731
6.078250605E8	40.7643443666223
6.156679645E8	39.909005646292016
6.235108685E8	40.14109141391723
6.313537725E8	40.44060155907284
6.391966765E8	40.69425086191213
6.470395805E8	40.30550564775153
6.548824845E8	40.30949810109663
6.627253885E8	40.6596058141652
6.705682925E8	40.65606330336129
6.784111965E8	40.76629838516131
6.862541005E8	38.39945161181662
6.903239885E8	21.104354572786345
6.942454405E8	39.718978282869564
7.019399085E8	37.36641681078335
7.097828125E8	40.54332613184755
7.176257165E8	41.07252164961791
7.254686205E8	40.90667795617
7.333115245E8	40.72732606202832
7.411544285E8	31.597253114301115
7.489973325E8	40.42418236325243
7.568402365E8	36.428567691347126
7.646831405E8	40.48691592539916
7.725260445E8	40.4409937693188
7.803689485E8	40.288552686636585
7.882118525E8	40.350344370728656
7.960547565E8	40.062710105434725
8.038976605E8	40.180896261296674
8.117405645E8	39.30889261828854
8.195834685E8	39.28201339197903
8.274263725E8	40.60011301563383
8.352692765E8	39.76203150098839
8.431121805E8	40.76704142817141
8.509550845E8	40.48033441696911
8.587979885E8	39.82688134498096
8.666408925E8	40.87547847329059
8.744837965E8	40.42311309461403
8.800159745E8	35.090218733492364
8.839374265E8	38.391006065361054
8.901696045E8	40.97888127741169
8.980125085E8	40.08634068235004
9.058554125E8	39.01675854877187
9.136983165E8	39.58920489589758
9.215412205E8	40.33735383009533
9.293841245E8	35.85529315725895
