#Mapping quality	mapping quality
0.0	669736.0
1.0	3827507.0
2.0	418899.0
3.0	177886.0
4.0	53788.0
5.0	22951.0
6.0	2149026.0
7.0	138367.0
8.0	218488.0
9.0	13945.0
10.0	11597.0
11.0	94815.0
12.0	272566.0
13.0	10489.0
14.0	48548.0
15.0	79936.0
16.0	52685.0
17.0	208108.0
18.0	241172.0
19.0	11130.0
20.0	10146.0
21.0	264844.0
22.0	393124.0
23.0	704020.0
24.0	978984.0
25.0	321973.0
26.0	543656.0
27.0	501755.0
28.0	16893.0
29.0	16206.0
30.0	589764.0
31.0	426563.0
32.0	483214.0
33.0	214969.0
34.0	480217.0
35.0	603327.0
36.0	673500.0
37.0	962226.0
38.0	1159764.0
39.0	1226794.0
40.0	2147593.0
41.0	103653.0
42.0	1.29905094E8
