#Insert size (bp)	insert size
21.0	1.0
23.0	1.0
27.0	2.0
28.0	2.0
30.0	1.0
31.0	1.0
32.0	2.0
33.0	6.0
34.0	4.0
35.0	4.0
36.0	4.0
37.0	8.0
38.0	3.0
39.0	13.0
40.0	8.0
41.0	11.0
42.0	6.0
43.0	11.0
44.0	17.0
45.0	21.0
46.0	28.0
47.0	22.0
48.0	33.0
49.0	31.0
50.0	46.0
51.0	45.0
52.0	39.0
53.0	47.0
54.0	53.0
55.0	49.0
56.0	59.0
57.0	64.0
58.0	74.0
59.0	98.0
60.0	113.0
61.0	105.0
62.0	132.0
63.0	122.0
64.0	127.0
65.0	144.0
66.0	140.0
67.0	176.0
68.0	149.0
69.0	214.0
70.0	246.0
71.0	201.0
72.0	222.0
73.0	229.0
74.0	224.0
75.0	239.0
76.0	243.0
77.0	252.0
78.0	286.0
79.0	345.0
80.0	379.0
81.0	382.0
82.0	337.0
83.0	297.0
84.0	314.0
85.0	303.0
86.0	335.0
87.0	335.0
88.0	365.0
89.0	496.0
90.0	528.0
91.0	622.0
92.0	605.0
93.0	576.0
94.0	429.0
95.0	454.0
96.0	425.0
97.0	452.0
98.0	501.0
99.0	557.0
100.0	708.0
101.0	776.0
102.0	831.0
103.0	844.0
104.0	741.0
105.0	731.0
106.0	768.0
107.0	779.0
108.0	876.0
109.0	1074.0
110.0	1240.0
111.0	1494.0
112.0	1530.0
113.0	1371.0
114.0	1269.0
115.0	1224.0
116.0	1338.0
117.0	1511.0
118.0	1487.0
119.0	1652.0
120.0	2238.0
121.0	2898.0
122.0	3354.0
123.0	3189.0
124.0	2601.0
125.0	2340.0
126.0	2280.0
127.0	2550.0
128.0	2756.0
129.0	3038.0
130.0	3635.0
131.0	4446.0
132.0	5660.0
133.0	6687.0
134.0	7036.0
135.0	6404.0
136.0	5867.0
137.0	6150.0
138.0	6678.0
139.0	8160.0
140.0	9289.0
141.0	10352.0
142.0	11169.0
143.0	11156.0
144.0	11486.0
145.0	11306.0
146.0	11211.0
147.0	11310.0
148.0	11802.0
149.0	11915.0
150.0	12806.0
151.0	13758.0
152.0	14087.0
153.0	13863.0
154.0	13622.0
155.0	13688.0
156.0	14123.0
157.0	14858.0
158.0	16078.0
159.0	17062.0
160.0	17810.0
161.0	18462.0
162.0	19346.0
163.0	21159.0
164.0	23581.0
165.0	25804.0
166.0	25641.0
167.0	25139.0
168.0	23806.0
169.0	22192.0
170.0	20338.0
171.0	18916.0
172.0	17549.0
173.0	16355.0
174.0	15449.0
175.0	15124.0
176.0	14090.0
177.0	13004.0
178.0	11944.0
179.0	10793.0
180.0	9558.0
181.0	8541.0
182.0	7732.0
183.0	7000.0
184.0	6303.0
185.0	6070.0
186.0	5620.0
187.0	5276.0
188.0	4715.0
189.0	4484.0
190.0	4054.0
191.0	3550.0
192.0	3357.0
193.0	2975.0
194.0	2776.0
195.0	2450.0
196.0	2300.0
197.0	2207.0
198.0	2034.0
199.0	1889.0
200.0	1708.0
201.0	1664.0
202.0	1505.0
203.0	1353.0
204.0	1203.0
205.0	1150.0
206.0	1062.0
207.0	969.0
208.0	966.0
209.0	836.0
210.0	798.0
211.0	727.0
212.0	720.0
213.0	635.0
214.0	630.0
215.0	550.0
216.0	483.0
217.0	454.0
218.0	425.0
219.0	415.0
220.0	408.0
221.0	362.0
222.0	364.0
223.0	335.0
224.0	298.0
225.0	279.0
226.0	247.0
227.0	252.0
228.0	231.0
229.0	225.0
230.0	190.0
231.0	214.0
232.0	210.0
233.0	169.0
234.0	169.0
235.0	157.0
236.0	153.0
237.0	142.0
238.0	124.0
239.0	153.0
240.0	142.0
241.0	134.0
242.0	126.0
243.0	135.0
244.0	121.0
245.0	123.0
246.0	115.0
247.0	98.0
248.0	120.0
249.0	132.0
250.0	104.0
251.0	132.0
252.0	135.0
253.0	136.0
254.0	151.0
255.0	133.0
256.0	140.0
257.0	110.0
258.0	136.0
259.0	150.0
260.0	136.0
261.0	167.0
262.0	178.0
263.0	155.0
264.0	178.0
265.0	174.0
266.0	155.0
267.0	182.0
268.0	180.0
269.0	176.0
270.0	207.0
271.0	211.0
272.0	211.0
273.0	245.0
274.0	231.0
275.0	240.0
276.0	250.0
277.0	244.0
278.0	257.0
279.0	224.0
280.0	297.0
281.0	332.0
282.0	300.0
283.0	320.0
284.0	374.0
285.0	330.0
286.0	337.0
287.0	369.0
288.0	388.0
289.0	420.0
290.0	413.0
291.0	415.0
292.0	466.0
293.0	454.0
294.0	489.0
295.0	458.0
296.0	537.0
297.0	571.0
298.0	555.0
299.0	570.0
300.0	613.0
301.0	637.0
302.0	638.0
303.0	642.0
304.0	681.0
305.0	710.0
306.0	726.0
307.0	744.0
308.0	767.0
309.0	796.0
310.0	826.0
311.0	752.0
312.0	823.0
313.0	781.0
314.0	826.0
315.0	802.0
316.0	807.0
317.0	766.0
318.0	762.0
319.0	793.0
320.0	794.0
321.0	737.0
322.0	718.0
323.0	766.0
324.0	756.0
325.0	729.0
326.0	714.0
327.0	676.0
328.0	663.0
329.0	643.0
330.0	625.0
331.0	631.0
332.0	629.0
333.0	617.0
334.0	602.0
335.0	624.0
336.0	534.0
337.0	580.0
338.0	602.0
339.0	501.0
340.0	511.0
341.0	543.0
342.0	535.0
343.0	496.0
344.0	488.0
345.0	466.0
346.0	451.0
347.0	430.0
348.0	420.0
349.0	424.0
350.0	404.0
