#Position (bp)	insert size
3921452.5	170.4700267277587
1.17643565E7	172.90307140007977
1.96072605E7	174.4971098265896
2.74501645E7	172.433188805676
3.52930685E7	174.68450810403317
4.31359725E7	174.5968
5.09788765E7	171.77915831663327
5.88217805E7	172.42927429274292
6.66646845E7	171.16321243523316
7.45075885E7	168.5591444783937
8.23504925E7	169.97896662094192
9.01933965E7	170.81993851559068
9.80363005E7	171.63435742102985
1.058792045E8	162.65740740740742
1.137221085E8	165.96098202542746
1.215650125E8	161.8400930851064
1.294079165E8	0.0
1.372508205E8	0.0
1.450937245E8	164.41640597844977
1.529366285E8	163.90999379267535
1.607795325E8	160.54100330429557
1.686224365E8	160.24320742213385
1.764653405E8	156.12529955494693
1.843082445E8	165.78312883435584
1.921511485E8	163.35602094240838
1.999940525E8	166.56622724419336
2.078369565E8	167.57181571815718
2.156798605E8	166.33880308880308
2.235227645E8	165.1129961587708
2.313656685E8	167.0952380952381
2.392085725E8	165.2958170328017
2.46190323E8	167.22178060413356
2.50111775E8	169.5024077046549
2.548943805E8	167.7226742129466
2.627372845E8	168.62601914214818
2.705801885E8	167.43883357041253
2.784230925E8	170.32619557458958
2.862659965E8	169.4066852367688
2.941089005E8	168.70405456612355
3.019518045E8	167.3320189274448
3.097947085E8	168.23313373253492
3.176376125E8	169.2180930930931
3.254805165E8	169.9123914759274
3.333234205E8	169.17194744976817
3.411663245E8	172.04971319311665
3.490092285E8	168.4616497829233
3.568521325E8	168.23435582822086
3.646950365E8	170.0436873747495
3.725379405E8	169.39721509710517
3.803808445E8	168.0342998585573
3.882237485E8	167.22529971062423
3.960666525E8	171.0575719649562
4.039095565E8	168.06242091944327
4.117524605E8	166.9369918699187
4.195953645E8	169.81448911222782
4.274382685E8	170.59283655825442
4.352811725E8	169.12473572938688
4.431240765E8	168.3861386138614
4.509669805E8	169.89162959967652
4.588098845E8	167.82237117720987
4.666527885E8	169.55243161094225
4.744956925E8	169.68192580899762
4.823385965E8	170.54138192862567
4.893550215E8	170.9613135402609
4.932764735E8	169.79861111111111
4.980244045E8	170.16157388028464
5.058673085E8	170.65993788819875
5.137102125E8	170.808631211857
5.215531165E8	172.1489451476793
5.293960205E8	169.90878800499792
5.372389245E8	170.81872037914692
